,tipo_de_contribuinte_1,fracao_ideal,area_do_terreno,area_construida,area_ocupada,valor_do_m2_do_terreno,valor_do_m2_de_construcao,ano_da_construcao_corrigido,quantidade_de_pavimentos,testada_para_calculo,tipo_de_uso_do_imovel,tipo_de_padrao_da_construcao,tipo_de_terreno,fator_de_obsolescencia,latitude,longitude,labels
826567,0.0,0.0047,5902,188,5441,3989.0,2497.0,2005,27,50.89,0,1,1,0.88,-23.6244531,-46.68541,103
835329,0.0,0.0026,1560,36,350,2230.0,1607.0,1991,20,40.0,1,0,3,0.73,-23.6330927,-46.7038258,101
232398,1.0,0.0051,496,38,496,3442.0,2139.0,1964,19,23.2,0,0,3,0.3,-23.542243600000003,-46.634874700000005,144
328637,0.0,0.019,604,67,300,4999.0,2139.0,1970,13,12.5,0,0,1,0.41,-23.5519745,-46.6498263,84
1035933,0.0,0.0423,2637,565,1733,990.0,1854.0,1994,25,118.17,0,1,2,0.76,-23.6185158,-46.7315215,90
652498,1.0,0.0037,6200,171,4984,1582.0,1854.0,2008,25,0.0,0,1,3,0.91,-23.5517127,-46.54505379999999,136
670104,0.0,0.0068,1371,59,854,753.0,1607.0,2001,10,45.7,1,0,3,0.84,-23.5253967,-46.530260399999996,0
879625,0.0,0.0018,43200,140,5266,825.0,1607.0,1983,15,108.0,0,0,3,0.62,-23.6907176,-46.6997658,126
522308,1.0,0.021,4280,428,1370,2228.0,3092.0,2012,23,106.54,0,2,2,0.95,-23.589384399999997,-46.627891399999996,20
325551,0.0,0.0066,742,34,400,6293.0,2139.0,1967,15,14.0,0,0,1,0.35,-23.5484741,-46.6500901,84
1033559,1.0,0.073,801,220,122,1671.0,1854.0,1984,14,49.0,0,1,1,0.63,-23.6278079,-46.7303536,39
245466,0.0,0.0134,500,56,316,4316.0,1631.0,1956,15,24.26,0,4,1,0.2,-23.5521001,-46.639317600000005,52
278174,0.0,0.0037,570,27,520,4124.0,2139.0,1973,9,30.0,1,0,3,0.46,-23.538466699999997,-46.6520749,101
1106256,1.0,0.0056,8665,88,1980,72.0,927.0,2005,5,8.98,0,4,1,0.81,-23.5535798,-46.4291064,87
775230,0.0,0.0047,4740,81,3638,689.0,1607.0,2010,18,104.2,0,0,2,0.93,-23.5054569,-46.7068078,42
1020947,0.0,0.0048,10504,127,1351,837.0,1224.0,1989,14,100.36,0,0,3,0.7,-23.6415245,-46.7585429,140
99076,0.0,0.0048,2148,72,980,6480.0,2584.0,1964,15,32.05,6,5,1,0.3,-23.553186399999998,-46.661635700000005,7
354537,0.0,0.0048,6014,184,4004,2976.0,2139.0,1972,26,0.0,0,0,3,0.44,-23.5387588,-46.684172499999995,97
705389,0.0,0.04,972,130,852,1281.0,1854.0,1992,8,24.0,0,1,1,0.74,-23.5031961,-46.6033143,146
813264,0.0,0.0012,13413,57,3192,1082.0,1607.0,1973,16,62.0,0,0,1,0.46,-23.556831699999996,-46.7449281,104
207518,0.0,0.0049,3863,111,3244,2950.0,2139.0,1979,19,28.2,0,0,1,0.56,-23.587962,-46.6403353,100
5244,0.0,0.0418,1418,278,800,7874.0,2497.0,1957,14,24.7,0,1,1,0.2,-23.5659802,-46.6588386,9
455991,1.0,0.0079,2160,92,1724,1195.0,1607.0,2015,15,22.4,0,0,1,0.97,-23.543902,-46.586559799999996,93
827229,0.0,0.0157,1312,168,1312,4187.0,2139.0,1996,18,27.35,0,0,1,0.79,-23.6243523,-46.6848311,66
963831,1.0,0.0061,7835,76,436,371.0,1224.0,2014,21,127.0,0,0,1,0.96,-23.512896899999998,-46.4238436,122
1064773,0.0,0.0037,9203,150,3448,465.0,1224.0,2011,18,247.33,0,0,2,0.94,-23.649176399999998,-46.7552121,42
57253,0.0,0.0166,1500,128,500,4148.0,2139.0,1972,16,30.0,0,0,1,0.44,-23.599054100000004,-46.6625005,84
1013911,0.0,0.0159,2000,129,1699,501.0,1224.0,1994,9,40.0,0,0,1,0.76,-23.654774800000002,-46.744826,146
100906,0.0,0.0037,1961,68,1400,5230.0,2139.0,1969,19,60.82,0,0,3,0.39,-23.5495135,-46.6538344,109
1137679,1.0,0.0164,3170,328,648,2552.0,3092.0,1983,31,96.1,0,2,2,0.62,-23.6108019,-46.7043909,20
785294,0.0,0.0183,2280,288,527,2351.0,2497.0,1990,19,40.0,0,1,1,0.71,-23.531957199999997,-46.727143700000006,48
729894,0.0,0.0092,10068,339,2760,1180.0,1607.0,2013,5,124.4,0,0,2,0.96,-23.467096100000003,-46.632071999999994,95
263018,0.0,0.0039,1009,58,800,4095.0,2139.0,1962,19,30.67,0,0,1,0.26,-23.550235,-46.641617,84
475802,0.0,0.0204,672,73,612,5499.0,2139.0,1977,9,14.0,0,0,1,0.52,-23.5580942,-46.6412052,84
768975,1.0,0.0047,8557,153,7000,762.0,1607.0,2011,20,0.0,0,0,3,0.94,-23.498409699999996,-46.6955052,81
280365,0.0,0.0311,227,48,210,2505.0,2139.0,1970,12,12.6,0,0,1,0.41,-23.5364227,-46.6512104,133
502253,0.0,0.0038,6090,146,4869,1424.0,2139.0,2010,25,128.3,0,0,2,0.93,-23.5746003,-46.605969,42
1136900,0.0,0.0218,1980,184,495,2320.0,2139.0,1995,9,40.0,0,0,1,0.78,-23.6078861,-46.7086071,100
920555,1.0,0.0039,12079,87,2486,358.0,927.0,2013,5,117.5,0,4,2,0.93,-23.533705100000002,-46.4055741,87
984249,1.0,0.0143,2314,111,594,636.0,1224.0,2015,8,47.07,0,0,3,0.97,-23.590533800000003,-46.5052873,38
831254,0.0,0.0054,1800,74,1800,1737.0,1607.0,1999,19,30.0,0,0,1,0.82,-23.6467453,-46.7046066,78
1046798,0.0,0.0481,782,178,699,1696.0,1607.0,2004,12,23.0,0,0,1,0.88,-23.6177713,-46.7380564,128
305623,0.0,0.1627,329,96,259,2541.0,1383.0,1949,2,9.0,0,9,1,0.2,-23.5561236,-46.6439034,22
981248,1.0,0.0037,5515,75,2452,464.0,1224.0,2015,20,0.0,0,0,3,0.97,-23.5728069,-46.5033157,38
183724,0.0,0.0029,1523,29,295,2640.0,2139.0,1989,13,27.0,1,0,3,0.7,-23.6201612,-46.679593700000005,101
787663,0.0,0.0195,3220,323,2628,1871.0,2497.0,2005,9,71.4,0,1,1,0.88,-23.5316357,-46.71563270000001,146
720342,0.0,0.0066,5840,94,2200,1073.0,1285.0,1998,9,93.2,0,4,2,0.68,-23.476686899999997,-46.6237443,64
